kick_off,venue,team_1,team_2
20/11/2022 16:00,Al Bayt Stadium,Qatar,Ecuador
21/11/2022 13:00,Khalifa International Stadium,England,Iran
21/11/2022 16:00,Al Thumama Stadium,Senegal,Netherlands
21/11/2022 19:00,Ahmad Bin Ali Stadium,USA,Wales
22/11/2022 10:00,Lusail Stadium,Argentina,Saudi Arabia
22/11/2022 13:00,Education City Stadium,Denmark,Tunisia
22/11/2022 16:00,Stadium 974,Mexico,Poland
22/11/2022 19:00,Al Janoub Stadium,France,Australia
23/11/2022 10:00,Al Bayt Stadium,Morocco,Croatia
23/11/2022 13:00,Khalifa International Stadium,Germany,Japan
23/11/2022 16:00,Al Thumama Stadium,Spain,Costa Rica
23/11/2022 19:00,Ahmad Bin Ali Stadium,Belgium,Canada
24/11/2022 10:00,Al Janoub Stadium,Switzerland,Cameroon
24/11/2022 13:00,Education City Stadium,Uruguay,Korea Republic
24/11/2022 16:00,Stadium 974,Portugal,Ghana
24/11/2022 19:00,Lusail Stadium,Brazil,Serbia
25/11/2022 10:00,Ahmad Bin Ali Stadium,Wales,Iran
25/11/2022 13:00,Al Thumama Stadium,Qatar,Senegal
25/11/2022 16:00,Khalifa International Stadium,Netherlands,Ecuador
25/11/2022 19:00,Al Bayt Stadium,England,USA
26/11/2022 10:00,Al Janoub Stadium,Tunisia,Australia
26/11/2022 13:00,Education City Stadium,Poland,Saudi Arabia
26/11/2022 16:00,Stadium 974,France,Denmark
26/11/2022 19:00,Lusail Stadium,Argentina,Mexico
27/11/2022 10:00,Ahmad Bin Ali Stadium,Japan,Costa Rica
27/11/2022 13:00,Al Thumama Stadium,Belgium,Morocco
27/11/2022 16:00,Khalifa International Stadium,Croatia,Canada
27/11/2022 19:00,Al Bayt Stadium,Spain,Germany
28/11/2022 10:00,Al Janoub Stadium,Cameroon,Serbia
28/11/2022 13:00,Education City Stadium,Korea Republic,Ghana
28/11/2022 16:00,Stadium 974,Brazil,Switzerland
28/11/2022 19:00,Lusail Stadium,Portugal,Uruguay
29/11/2022 15:00,Khalifa International Stadium,Ecuador,Senegal
29/11/2022 15:00,Al Bayt Stadium,Netherlands,Qatar
29/11/2022 19:00,Ahmad Bin Ali Stadium,Wales,England
29/11/2022 19:00,Al Thumama Stadium,Iran,USA
30/11/2022 15:00,Al Janoub Stadium,Australia,Denmark
30/11/2022 15:00,Education City Stadium,Tunisia,France
30/11/2022 19:00,Stadium 974,Poland,Argentina
30/11/2022 19:00,Lusail Stadium,Saudi Arabia,Mexico
01/12/2022 15:00,Ahmad Bin Ali Stadium,Croatia,Belgium
01/12/2022 15:00,Al Thumama Stadium,Canada,Morocco
01/12/2022 19:00,Khalifa International Stadium,Japan,Spain
01/12/2022 19:00,Al Bayt Stadium,Costa Rica,Germany
02/12/2022 15:00,Al Janoub Stadium,Ghana,Uruguay
02/12/2022 15:00,Education City Stadium,Korea Republic,Portugal
02/12/2022 19:00,Stadium 974,Serbia,Switzerland
02/12/2022 19:00,Lusail Stadium,Cameroon,Brazil
